"sku","title","description","price","main_image","gallery"
"AH157508","Шток гидроцилиндра John Deere AH157508","🔧 Шток гидроцилиндра John Deere AH157508.

Запчасть John Deere для ремонта и обслуживания техники. Предназначена для ремонта гидравлического узла и восстановления нормальной работы системы.
Продаётся по каталожному номеру AH157508. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH157508
• Бренд: John Deere
• Наименование: Шток гидроцилиндра
• Узел: Гидравлическая система / Детали гидроцилиндров
• Раздел: Запчасти → Гидравлика
• Вес: 6,033 кг
• Размеры: длина 685,8 мм; высота 81,28 мм
• Размеры: объём 7,56 л
• Фото: 5 шт.

🚜 Применяемость по данным каталога: 7M 200, 7M 215, 7M 230, 2204, 6140J, 6140JH.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","105000","images/01/AH157508_1.jpg","[""images/01/AH157508_1.jpg"",""images/01/AH157508_2.jpg"",""images/01/AH157508_3.jpg"",""images/01/AH157508_4.jpg"",""images/01/AH157508_5.jpg""]"
"AH164325","Комплект уплотнений поршня John Deere AH164325","🔧 Комплект уплотнений поршня гидроцилиндра John Deere AH164325.

Запчасть John Deere для ремонта и обслуживания техники. Подходит для ремонта узла при износе уплотнений, появлении подтеканий или плановом обслуживании.
Продаётся по каталожному номеру AH164325. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH164325
• Бренд: John Deere
• Наименование: Комплект уплотнений поршня гидроцилиндра
• Узел: Гидравлическая система / Комплекты гидроцилиндров
• Раздел: Запчасти → Гидравлика
• Вес: 0,009 кг
• Размеры: длина 203,2 мм; ширина 165,1 мм; высота 7,62 мм
• Фото: 1 шт.

🚜 Применяемость по данным каталога: 7R 210, 7R 230, 7R 250, 7R 270, 7R 290, 7R 310.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","4880","images/01/AH164325_1.jpg","[""images/01/AH164325_1.jpg""]"
"AH167316","Гидроцилиндр подъема мотовила John Deere AH167316","🔧 Гидроцилиндр подъема мотовила John Deere AH167316.

Запчасть John Deere для ремонта и обслуживания техники. Предназначена для ремонта гидравлического узла и восстановления нормальной работы системы.
Продаётся по каталожному номеру AH167316. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH167316
• Бренд: John Deere
• Наименование: Гидроцилиндр подъема мотовила
• Узел: Гидравлическая система / Комплекты гидроцилиндров
• Раздел: Запчасти → Гидравлика
• Вес: 3,81 кг
• Размеры: длина 601,98 мм; ширина 81,28 мм; высота 38,1 мм
• Фото: 3 шт.

🚜 Применяемость по данным каталога: 614R, 615F, 615R, 616, 616F, 616R.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","51600","images/01/AH167316_1.jpg","[""images/01/AH167316_1.jpg"",""images/01/AH167316_2.jpg"",""images/01/AH167316_3.jpg""]"
"AH207921","Крестовина карданного шарнира John Deere AH207921","🔧 Крестовина карданного шарнира John Deere AH207921.

Запчасть John Deere для ремонта и обслуживания техники. Используется в приводе или трансмиссионном узле, где важно совпадение посадочных размеров и каталожного номера.
Продаётся по каталожному номеру AH207921. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH207921
• Бренд: John Deere
• Наименование: Крестовина карданного шарнира
• Узел: Подшипники и втулки / Крестовины и подшипниковые узлы
• Раздел: Запчасти → Подшипники и втулки
• Вес: 1,238 кг
• Размеры: длина 111,76 мм; ширина 111,76 мм; высота 40,64 мм
• Фото: 4 шт.

🚜 Применяемость по данным каталога: 606C, 608C, 612C, 9400, 9410, 9450.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","24500","images/23/AH207921_1.jpg","[""images/23/AH207921_1.jpg"",""images/23/AH207921_2.jpg"",""images/23/AH207921_3.jpg"",""images/23/AH207921_4.jpg""]"
"AH208554","Комплект пальцев John Deere AH208554","🔧 Комплект стандартных пальцев ротора-сепаратора TriStream™ John Deere AH208554.

Запчасть John Deere для ремонта и обслуживания техники. Подбирается по каталожному номеру для ремонта техники John Deere.
Продаётся по каталожному номеру AH208554. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH208554
• Бренд: John Deere
• Наименование: Комплект стандартных пальцев ротора-сепаратора TriStream™
• Узел: Детали системы обработки урожая / Детали молотильно-сепарирующего устройства
• Раздел: Запчасти → Детали уборочной техники
• Вес: 5,918 кг
• Размеры: длина 228,6 мм; ширина 160,02 мм; высота 160,02 мм
• Фото: 5 шт.

🚜 Применяемость по данным каталога: 9650 STS, 9660 STS, 9670 STS, 9750 STS, 9760 STS, 9770 STS.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","69000","images/12/AH208554_1.jpg","[""images/12/AH208554_1.jpg"",""images/12/AH208554_2.jpg"",""images/12/AH208554_3.jpg"",""images/12/AH208554_4.jpg"",""images/12/AH208554_5.jpg""]"
"AH214615","Комплект уплотнений штока John Deere AH214615","🔧 Комплект уплотнений штока гидроцилиндра John Deere AH214615.

Запчасть John Deere для ремонта и обслуживания техники. Подходит для ремонта узла при износе уплотнений, появлении подтеканий или плановом обслуживании.
Продаётся по каталожному номеру AH214615. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH214615
• Бренд: John Deere
• Наименование: Комплект уплотнений штока гидроцилиндра
• Узел: Гидравлическая система / Комплекты гидроцилиндров
• Раздел: Запчасти → Гидравлика
• Вес: 0,155 кг
• Размеры: длина 154,94 мм; ширина 128,27 мм; высота 49,53 мм
• Фото: 1 шт.

🚜 Применяемость по данным каталога: 2204, 7185J, 7195J, 7200R, 7205J, 7210J.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","19800","images/01/AH214615_1.jpg","[""images/01/AH214615_1.jpg""]"
"AH214868","Комплект пальцев шнека John Deere AH214868","🔧 Комплект стальных пальцев шнека John Deere AH214868.

Запчасть John Deere для ремонта и обслуживания техники. Используется в приводе или трансмиссионном узле, где важно совпадение посадочных размеров и каталожного номера.
Продаётся по каталожному номеру AH214868. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH214868
• Бренд: John Deere
• Наименование: Комплект стальных пальцев шнека
• Узел: Детали системы обработки урожая / Шнеки и приводы шнеков
• Раздел: Запчасти → Детали уборочной техники
• Вес: 4,931 кг
• Размеры: длина 330,2 мм; ширина 101,6 мм; высота 101,6 мм
• Фото: 3 шт.

🚜 Применяемость по данным каталога: 614R, 615F, 615P, 615R, 616R, 618F.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","25000","images/12/AH214868_1.jpg","[""images/12/AH214868_1.jpg"",""images/12/AH214868_2.jpg"",""images/12/AH214868_3.jpg""]"
"AH218548","Прижимной зажим в сборе John Deere AH218548","🔧 Прижимной зажим в сборе John Deere AH218548.

Запчасть John Deere для ремонта и обслуживания техники. Применяется как крепёжный или опорный элемент в соответствующем узле техники.
Продаётся по каталожному номеру AH218548. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH218548
• Бренд: John Deere
• Наименование: Прижимной зажим в сборе
• Узел: Крепеж / Зажимы и хомуты
• Раздел: Запчасти → Крепёж
• Вес: 0,277 кг
• Размеры: длина 101,6 мм; ширина 69,85 мм; высота 25,4 мм
• Фото: 7 шт.

🚜 Применяемость по данным каталога: 615F, 616, 616F, 616R, 618, 618F.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","1460","images/06/AH218548_1.jpg","[""images/06/AH218548_1.jpg"",""images/06/AH218548_2.jpg"",""images/06/AH218548_3.jpg"",""images/06/AH218548_4.jpg"",""images/06/AH218548_5.jpg"",""images/06/AH218548_6.jpg"",""images/06/AH218548_7.jpg""]"
"AH220398","Качающийся рычаг решета John Deere AH220398","🔧 Качающийся рычаг верхнего решета в сборе John Deere AH220398.

Запчасть John Deere для ремонта и обслуживания техники. Используется при замене изношенной детали в соответствующем узле техники.
Продаётся по каталожному номеру AH220398. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH220398
• Бренд: John Deere
• Наименование: Качающийся рычаг верхнего решета в сборе
• Узел: Детали системы обработки урожая / Детали очистного стана
• Раздел: Запчасти → Детали уборочной техники
• Вес: 1,302 кг
• Размеры: длина 340,36 мм; ширина 66,04 мм; высота 59,69 мм
• Фото: 4 шт.

🚜 Применяемость по данным каталога: 9470 STS, 9570 STS, 9670 STS, 9770 STS, 9870 STS, S4 300.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","12200","images/12/AH220398_1.jpg","[""images/12/AH220398_1.jpg"",""images/12/AH220398_2.jpg"",""images/12/AH220398_3.jpg"",""images/12/AH220398_4.jpg""]"
"AH222366","Качающийся рычаг решета John Deere AH222366","🔧 Качающийся рычаг нижнего решета в сборе John Deere AH222366.

Запчасть John Deere для ремонта и обслуживания техники. Используется при замене изношенной детали в соответствующем узле техники.
Продаётся по каталожному номеру AH222366. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH222366
• Бренд: John Deere
• Наименование: Качающийся рычаг нижнего решета в сборе
• Узел: Детали системы обработки урожая / Детали очистного стана
• Раздел: Запчасти → Детали уборочной техники
• Вес: 2,673 кг
• Размеры: длина 347,98 мм; ширина 152,4 мм; высота 68,58 мм
• Фото: 7 шт.

🚜 Применяемость по данным каталога: 9470 STS, 9570 STS, 9670 STS, 9770 STS, 9870 STS, S7 600.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","16400","images/12/AH222366_1.jpg","[""images/12/AH222366_1.jpg"",""images/12/AH222366_2.jpg"",""images/12/AH222366_3.jpg"",""images/12/AH222366_4.jpg"",""images/12/AH222366_5.jpg"",""images/12/AH222366_6.jpg"",""images/12/AH222366_7.jpg""]"
"AH225672","Комплект картриджных John Deere AH225672","🔧 Комплект картриджных уплотнений John Deere AH225672.

Запчасть John Deere для ремонта и обслуживания техники. Подходит для ремонта узла при износе уплотнений, появлении подтеканий или плановом обслуживании.
Продаётся по каталожному номеру AH225672. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH225672
• Бренд: John Deere
• Наименование: Комплект картриджных уплотнений
• Узел: Уплотнения, прокладки и кольца / Сальники и комплекты уплотнений
• Раздел: Запчасти → Уплотнения и прокладки
• Вес: 0,007 кг
• Размеры: длина 138,43 мм; ширина 107,95 мм; высота 12,7 мм
• Фото: 4 шт.

🚜 Применяемость по данным каталога: 493, 494, 594, 604C, 605C, 606C.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","6640","images/02/AH225672_1.jpg","[""images/02/AH225672_1.jpg"",""images/02/AH225672_2.jpg"",""images/02/AH225672_3.jpg"",""images/02/AH225672_4.jpg""]"
"AH232266","Переднее уплотнение чашки John Deere AH232266","🔧 Переднее уплотнение чашки решета, левое John Deere AH232266.

Запчасть John Deere для ремонта и обслуживания техники. Подходит для ремонта узла при износе уплотнений, появлении подтеканий или плановом обслуживании.
Продаётся по каталожному номеру AH232266. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH232266
• Бренд: John Deere
• Наименование: Переднее уплотнение чашки решета, левое
• Узел: Уплотнения, прокладки и кольца / Сальники и комплекты уплотнений
• Раздел: Запчасти → Уплотнения и прокладки
• Вес: 0,798 кг
• Размеры: длина 383,54 мм; ширина 234,95 мм; высота 19,05 мм
• Фото: 4 шт.

🚜 Применяемость по данным каталога: 9470 STS, 9570 STS, 9670 STS, 9770 STS, 9870 STS, S5 500.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","14200","images/02/AH232266_1.jpg","[""images/02/AH232266_1.jpg"",""images/02/AH232266_2.jpg"",""images/02/AH232266_3.jpg"",""images/02/AH232266_4.jpg""]"
"AH234499","Электромагнитная муфта жатки John Deere AH234499","🔧 Электромагнитная муфта жатки John Deere AH234499.

Запчасть John Deere для ремонта и обслуживания техники. Используется в приводе или трансмиссионном узле, где важно совпадение посадочных размеров и каталожного номера.
Продаётся по каталожному номеру AH234499. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH234499
• Бренд: John Deere
• Наименование: Электромагнитная муфта жатки
• Узел: Трансмиссия / Муфты сцепления и компоненты
• Раздел: Запчасти → Трансмиссия и мосты
• Вес: 22,136 кг
• Размеры: длина 330,2 мм; ширина 330,2 мм; высота 127 мм
• Фото: 1 шт.

🚜 Применяемость по данным каталога: 9450, 9470 STS, 9540, 9550, 9560, 9560 STS.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","224000","images/26/AH234499_1.jpg","[""images/26/AH234499_1.jpg""]"
"AH89023","Внутренний сальник John Deere AH89023","🔧 Внутренний сальник John Deere AH89023.

Запчасть John Deere для ремонта и обслуживания техники. Подходит для ремонта узла при износе уплотнений, появлении подтеканий или плановом обслуживании.
Продаётся по каталожному номеру AH89023. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AH89023
• Бренд: John Deere
• Наименование: Внутренний сальник
• Узел: Уплотнения, прокладки и кольца / Сальники и комплекты уплотнений
• Раздел: Запчасти → Уплотнения и прокладки
• Вес: 0,068 кг
• Размеры: длина 10,16 мм; высота 85,09 мм
• Фото: 4 шт.

🚜 Применяемость по данным каталога: 2704, 2854, 2904, 3004, 3204, 6620.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","3300","images/02/AH89023_1.jpg","[""images/02/AH89023_1.jpg"",""images/02/AH89023_2.jpg"",""images/02/AH89023_3.jpg"",""images/02/AH89023_4.jpg""]"
"AHC16372","Комплект уплотнений John Deere AHC16372","🔧 Комплект уплотнений гидроцилиндра John Deere AHC16372.

Запчасть John Deere для ремонта и обслуживания техники. Подходит для ремонта узла при износе уплотнений, появлении подтеканий или плановом обслуживании.
Продаётся по каталожному номеру AHC16372. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AHC16372
• Бренд: John Deere
• Наименование: Комплект уплотнений гидроцилиндра
• Узел: Рулевое управление / Комплекты рулевых гидроцилиндров
• Раздел: Запчасти → Уплотнения и прокладки
• Вес: 0,252 кг
• Размеры: длина 172,72 мм; ширина 83,82 мм; высота 40,64 мм
• Фото: 1 шт.

🚜 Применяемость по данным каталога: 7M 200, 7M 215, 7M 230, 2204, 4630, 6170M MONTENEGRO.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","34000","images/01/AHC16372_1.jpg","[""images/01/AHC16372_1.jpg""]"
"AL160517","Крестовина с подшипником John Deere AL160517","🔧 Крестовина с подшипниковым узлом John Deere AL160517.

Запчасть John Deere для ремонта и обслуживания техники. Подходит для замены изношенной опоры вращения или посадочного элемента.
Продаётся по каталожному номеру AL160517. Перед заказом рекомендуем сверить номер с вашей старой деталью или каталогом техники.

📌 Основные данные:
• Артикул: AL160517
• Бренд: John Deere
• Наименование: Крестовина с подшипниковым узлом
• Узел: Подшипники и втулки / Крестовины и подшипниковые узлы
• Раздел: Запчасти → Подшипники и втулки
• Вес: 1,005 кг
• Размеры: длина 35,56 мм; высота 99,06 мм
• Фото: 5 шт.

🚜 Применяемость по данным каталога: 6M 95, 6M 105, 6M 110, 6M 115, 6M 120, 6M 125.

🚚 Работаем с юридическими лицами. Отправляем по России транспортными компаниями.
📲 Для уточнения срока поставки, совместимости и условий отгрузки напишите в сообщения Авито или позвоните.","15200","images/23/AL160517_1.jpg","[""images/23/AL160517_1.jpg"",""images/23/AL160517_2.jpg"",""images/23/AL160517_3.jpg"",""images/23/AL160517_4.jpg"",""images/23/AL160517_5.jpg""]"
